Art. Nr.	Beschreibung	Lieferant (Haupt)	Neue LP
2607	Petrella Paprika	Privat	VB
2609	Petrella Porree	Privat	VB
2610	Petrella Schnittlauch	Privat	06-01
2614	Schlemmerfrischkäse Schnittlauch 2,5kg	Privat	VB
2615	Schlemmerfrischkäse 2,5kg	Privat	06-01
2616	Cremental Ziegenfrischkäse 500g	Privat	VB
2662	Petri Kräuterrolle	Privat	VB
2663	Petrella Schnittlauch 125g	Privat	VB
2722	Bianco Knoblauch	Privat	
2726	Bergader Almkäse	Privat	VB
2746	Almzeit Paprika Zwiebel	Privat	VB
2747	Almzeit Alpenkäse Kümmel (Biarom)	Privat	VB
2749	Almzeit grüner Pfeffer (Biarom)	Privat	VB
2751	Bavaria Blu	Privat	03-01
2752	Bavaria SB	Privat	VB
2763	Almzeit Chili Paprika Geraüchert	Privat	VB
2766	Bonifaz Natur	Privat	VB
2767	Bonifaz Pfeffer	Privat	03-01
2768	Bonifaz Knoblauch	Privat	03-01
2770	Bauernstolz	Privat	VB
2771	Bonifaz Pilze      	Privat	VB
2773	Bonifaz Brotzeit	Privat	VB
2775	Bonifaz Chili	Privat	03-01
3326	Fior del Alpi Laib	Privat	VB
5000	Saltufo Bedford 6x80g	Privat	VB
5001	Saltifo Tranches 80g	Privat	VB
5006	Limonade 1L div.	Privat	VB
5201	Halloumi 250g	Privat	06-03
5300	Käsetaler Natur 150 g   	Privat	06-03
5301	Käsetaler Kümmel 150 g	Privat	06-03
5302	Gouda am Stiel	Privat	VB
5400	Käsefeingebäck 80gx10	Privat	VB
5500	Südm.Auf´s Brot Natur	Privat	VB
5538	Starbucks Chocolate 220ml	Privat	Sonderware
5539	Starbucks Cappuccino 220ml	Privat	Sonderware
5540	Starbucks Vanille 220ml	Privat	Sonderware
5544	Debic ungesüsst 700 ml	Privat	VB
5545	Debic Sprühsahne 0,7L gesüßt	Privat	VB
5546	Oetker Creme Vegan 150g	Privat	VB
5547	Oetker Creme Double 150g	Privat	VB
5548	Luk Sauce Hollandaise	Privat	SAISON
5549	Luk Sauce Bernaise	Privat	SAISON
5551	Luk Sauce Hollandaise leicht	Privat	SAISON
5555	Südm.Auf´s Brot Kräut.	Privat	VB
5556	Frischli Bio H-Milch 10L	Privat	VB
5557	Butter Aubel ohne Salz	Privat	01-01
5558	Butter Aubel Gesalzen	Privat	01-01
5559	Kräuterbutter 500g	Privat	
5561	Vanille Sosse	Privat	VB
5563	Debic Vanille Soße 2L	Privat	VB
5564	Chili-Paprikasenfsauce 180 g  	Privat	04-01
5565	Birnensenfsauce 180 g    	Privat	04-01
5566	Feigensenfsauce 180 g   	Privat	04-01
5567	Orangensenfsauce 180 g   	Privat	04-01
5568	Quittensenfsauce 180 g    	Privat	04-01
5569	Marillensenfsauce 180 g    	Privat	04-01
5582	Naturjoghurt 3,5%  5 L	Privat	VB
5590	Feigenbrot  250 g   	Privat	03-01
5591	Dattelbrot  250 g   	Privat	03-01
5600	Alpro Barista Mandel	Privat	VB
5601	Alpro Soya Caramel	Privat	VB
5602	Alpro barista Soyadrink	Privat	VB
5603	Alpro Drink Mandel o. Zucker	Privat	VB
5604	Alpro Sojadrink Ungesuesst	Privat	VB
5605	Alpro Sojadrink Calcium	Privat	VB
5606	Alpro Soja Kochcreme	Privat	VB
5607	Alpro Hafer Barista	Privat	VB
5608	Alpro barista Kokos	Privat	VB
5620	Alpro Soyadessert Dun.Schoko.	Privat	VB
5621	Alpro Sojadessert Van.	Privat	VB
5622	Alpro Sojadessert Choco.	Privat	VB
5630	Alpro Cooking Soya 250g	Privat	VB
5631	Alpro Soyadrink Van.	Privat	VB
5632	Alpro Soyadrink Choco	Privat	VB
6337	Schön. Rezent	Privat	VB
6339	Schöngrunder Kräftig 1/2 Laib	Privat	VB
7000	Langes Coupe	Privat	VB
7003	Brie de Meaux A.O.C.	Privat	03-03
7004	Cailladou	Privat	VB
7013	Saint Andre	Privat	03-02
7014	Reblochon A.O.C. 500g	Privat	06-03
7016	Epoisses Berthaut	Privat	VB
7019	St. Nectaire	Privat	VB
7021	Le Montagnard	Privat	06-03
7022	Le Gourmet Trüffel 100g	Privat	VB
7023	Comté Millesime 1/4 Laib 30mon.	Privat	VB
7029	Epoisses de Bourgogne 800g Germain	Privat	06-02
7033	Picandou 6x40g	Privat	06-03
7035	Heideland Würzig 150g	Privat	VB
7036	Le Brin 8x150g	Privat	06-02
7038	Roulé Ananas Prep. 125gx6	Privat	VB
7039	Brebicet 8x125g	Privat	06-02
7040	Florette 8x125g	Privat	06-02
7041	Roule Prepack Kräuter	Privat	VB
7042	Roulé Cranb. Prep. 125gx6	Privat	VB
7046	Roule´Cranberry	Privat	VB
7047	Don Bernado Gold 12 Monate 	Privat	03-01
7050	Don Bernado Curado  6 Monate 	Privat	03-01
7052	Roquefort Laib 	Privat	06-02
7057	Roule Kräuter	Privat	06-01
7061	Beaufort 1/8	Privat	VB
7072	Ziegenfrischkäse Natur 1kg	Privat	03-03
7075	Ziegenfrischkäse Asche 1kg	Privat	VB
7081	Brugge Pain Apero	Privat	VB
7084	Fleur Brugge	Privat	VB
7085	Brugge Gold	Privat	VB
7086	Brugge pain classic	Privat	VB
7087	Brugge Alt	Privat	VB
7088	Brugge Prestige	Privat	VB
7090	Brugge Bierkäse	Privat	VB
7091	Pavé Paprika 6x150g	Privat	VB
7145	Mimolette jung	Privat	VB
7155	Brillat Savarin affine	Privat	VB
7170	Comte AOC 1/1 Laib	Privat	VB
7205	Petit Camembert Calvados 125g	Privat	VB
7206	Camembert 6x250g Calvados	Privat	06-03
7207	Camembert Petit Bleu 8x150g 	Privat	06-03
7209	Fougeru 700g	Privat	06-03
7210	Fourme d‘Ambert Edelpilzkäse	Privat	VB
7214	Münsterkäse 500g 	Privat	06-03
7217	Galette	Privat	VB
7219	Tomme de Savoie	Privat	03-01
7223	Jurassic 1/1 Laib	Privat	VB
7237	Gres des Vosges	Privat	VB
7242	Brillat Savarin Kräuter	Privat	VB
7243	Saint Jacques	Privat	VB
7244	Brebis d‘Argental 1kg	Privat	06-03
7245	Roquefort Laib Papillion	Privat	03-02
7251	Chèvre d‘Argental 1kg	Privat	06-03
7255	Fromage Blanc Vanille 500g	Privat	VB
7268	Comté Alt 24 Mon. VB	Privat	VB
7271	Chaource 6x250g AOC	Privat	VB
7272	Delice de Bourgogne	Privat	03-03
7273	Pico Affine 125g	Privat	VB
7280	Pont l’Eveque A.O.C. 350g	Privat	VB
7282	Petit Morbier 	Privat	01-03
7288	Lingot d'Argental	Privat	06-02
7290	Maxi Calvados	Privat	06-03
7297	Mont d Or	Privat	SAISON
7300	Cremeux Blanc	Privat	
7301	Cremeux Rouge	Privat	
7302	Cocktail Oliven mit Fk	Privat	VB
7303	Paprika mit Fk	Privat	VB
7304	Oliven mit Knoblauch	Privat	VB
7305	Tomaten getrocknet	Privat	VB
7306	Champignon mit Fk	Privat	VB
7307	Rote Pepperoni mit  Fk	Privat	VB
7308	Span. Oliven mit Paprika	Privat	VB
7309	Grüne Oliven mit Mandeln	Privat	VB
7310	Schwarze Oliven o. Stein	Privat	VB
7311	Grüne Pepperoni mit Fk	Privat	VB
7312	Cocktailtomaten mit Fk	Privat	VB
7313	Borretanische Zwiebeln	Privat	VB
7351	Camembert Bertrand	Privat	VB
7352	Camembert Normand 6x250g	Privat	VB
7353	Camembert Gaslonde  6x250g	Privat	VB
7368	Fromager Affinous Truffes	Privat	VB
7386	Tinajeros Cabra 	Privat	VB
7387	Petit Basque	Privat	03-02
7388	Rochebaron mit Blauschimmel	Privat	03-01
7389	Cremoulin 350g	Privat	03-01
7390	Peyrigoux 1,2kg	Privat	03-01
7391	Brebiou	Privat	VB
7393	Gris du Perigord	Privat	VB
7395	Bresse Bleu	Privat	VB
7401	Ziegencamembert 12x180g	Privat	06-01
7410	Bleu d' Auvergne	Privat	VB
7501	Roquefort Papillon 1/2 Lb. 1,25x4	Privat	VB
7510	Pierre Robert Cave	Privat	VB
7527	Gipfelkäs	Privat	VB
7532	Troubadour                      	Privat	VB
7539	Coer Neufch. 200 gr	Privat	VB
7545	Cremeux d‘Argental 2kg	Privat	06-02
7549	Coulommiers Tradition	Privat	VB
7558	Langres 1 kg	Privat	VB
7563	Livarot 500 gr 	Privat	VB
7573	Ami Chambertin Nackt	Privat	VB
7617	Delice d’Argental	Privat	06-03
7622	Buchette de Chevre 25g	Privat	VB
7623	Comté 1/4 Laibe 6-8 Mon.	Privat	03-01
7669	Royal Truffes Ete 2,5%	Privat	VB
7695	Tomme Chevre Fond.	Privat	VB
7706	Ubriaco	Privat	VB
7707	Picandou 2er	Privat	VB
7709	Mammutkäse	Privat	VB
7719	Pont L'eveque	Privat	06-02
7731	Pavé de Paris	Privat	VB
7748	Extra Mature Cheddar	Privat	VB
7799	Au Bouchon	Privat	06-03
7837	Tomme au Champagne	Privat	VB
7838	Camembert au Calvados (Maxi) 1kg	Privat	VB
7842	Petit Grès d’Alsace 8x125g	Privat	VB
7898	Chevre Chaud Nature	Privat	VB
7899	Bousault 200g	Privat	VB
7900	Cabrissac	Privat	VB
7926	Cremeux de Bourgogne	Privat	03-03
7952	Brebisrousse  d‘Argental 1kg	Privat	06-03
7998	Coeur Gourm. Marron 80g	Privat	VB
8120	Reblochon Edelmont	Privat	VB
8146	"Delice Papaya
(Brillat Savarin)"	Privat	VB
8147	Fourme au Sauterne	Privat	VB
8165	Tomme des cCroquants x3	Privat	VB
8206	Pecorino Rocco de Poire	Privat	VB
8209	Petit Fourme d’Ambert	Privat	06-03
8224	Brie de Meaux mit Trüffeln	Privat	06-03
8279	Fleur de Vert	Privat	VB
8299	Timanoix	Privat	VB
8309	Brillat Savarin Senf	Privat	VB
8361	Coeur Gourm. Feige 80g	Privat	VB
8396	Petit Munster 125g	Privat	VB
8398	Mozzarella 1kg (Sonstige)	Privat	VB
8401	Piccandou Honig (Miel) 6x125g	Privat	VB
8426	Grès du Maquis	Privat	06-03
8472	Duo Brie Cranberry	Privat	
8609	Briquette aux Herbes 200g	Privat	06-02
8642	Buchette aux Fleurs	Privat	06-02
8650	Racl. Bleu de Gex	Privat	VB
8675	Jura Montagne	Privat	VB
8704	Petit Gres Champagne Boite	Privat	VB
8712	Etivaz 1/8 Laib	Privat	VB
8720	Brie de Meaux mit Senf	Privat	06-03
8730	Cremeux de Bourgogne Bio	Privat	VB
8765	Picandou à Tartiner 12x125g	Privat	VB
8788	Moliterno Al Tartufo 1/2LN	Privat	VB
8808	Elliot Citron Rosmarin 100g	Privat	VB
8824	Chevre Argental Allege	Privat	VB
8833	Grand Cru 10-12m Jurassic 12kg	Privat	VB
8864	Grand Cru 10-12m Jurassic 1/4	Privat	VB
8885	Moliterno al Tartufo Laib	Privat	02-02
8899	Jura 4-5M	Privat	03-01
9001	Frico Maasdam	Privat	Sonderware
9002	Gouda Chevre Rustique	Privat	VB
9003	Ribeaupierre Ziege	Privat	VB
9004	Ribeaupierre Kuh	Privat	VB
9005	Ribeaupierre Schaf	Privat	VB
9007	Ziegengouda	Privat	01-03
9008	Ziegengouda Alt	Privat	VB
9032	Landana Ziege Rosso	Privat	VB
9033	Gouda Trüffel	Privat	01-02
9037	Landana Kreuzkümmel	Privat	VB
9048	NH Weidepolder jung 	Privat	02-01
9049	NH Weidepolder m`alt	Privat	02-01
9050	Favor.NH extra bel.	Privat	VB
9090	Jersey mild 1/2	Privat	VB
9095	Jersey Mild 1/1	Privat	VB
9100	Jersey pikant 1/2	Privat	VB
9101	Black lemon	Privat	VB
9103	Gouda 1/4 Laibe HB pik.	Privat	01-03
9107	Landana Bockshornklee	Privat	VB
9110	Jersey Pikant 1/1	Privat	VB
9111	Gouda Huizer Kaas gewachst	Privat	VB
9115	Jersey Alt	Privat	VB
9125	Edamer Block	Privat	VB
9126	Leerdammer Delacreme	Privat	01-01
9127	Leerdammer Langstück	Privat	VB
9128	Gouda mit Pesto rot	Privat	02-01
9129	Landana 1000 Tage	Privat	VB
9130	Gouda mit Pesto grün	Privat	02-01
9131	Landana 500 Tage	Privat	VB
9132	Gouda Tricolore	Privat	VB
9135	Ziegengouda Block 15 kg	Privat	VB
9136	Ziegenbutterkäse	Privat	04-01
9138	Gouda Gartenkräuter	Privat	VB
9140	Gouda gerieben 1kg	Privat	VB
9141	Gouda Scheiben gef.	Privat	VB
9143	Bauerngouda Ziege/Trüffel	Privat	02-02
9144	Beemster Royal 1/2	Privat	01-01
9150	Bauernkäse Pikant 12kg	Privat	VB
9151	Bauernkäse Jung 12kg	Privat	VB
9152	Beemster pikant light  1/2	Privat	01-01
9154	Beemster mild light  1/2	Privat	01-01
9155	Prima Donna Maturo 1/1	Privat	VB
9156	Prima Donna Maturo (gereift)	Privat	01-02
9157	Landana Walnuß	Privat	VB
9159	Pikantje v. Antje 4/4	Privat	01-03
9180	Leerd. Langstück Leicht	Privat	VB
9181	Leerdammer 1/2 Lb.	Privat	VB
9183	Leerdammer 1/4 Lb	Privat	01-01
9190	Jersey XO	Privat	VB
9208	Schweizer Bergkäse 6 Monat	Privat	VB
9234	Tommette Pruneau Cognac 180g	Privat	VB
9239	Beurre Fleur de Sel 125g	Privat	VB
9262	Brillat Savarin Cranberry	Privat	VB
9263	Gres Champenois	Privat	06-03
9309	Gruyere 1/8	Privat	VB
9434	Coeur Gourm. Mirab. 80g	Privat	VB
9458	Comté Cyclame 24 Mon.	Privat	03-01
9626	Bio Gouda 12kg	Privat	VB
9632	Roquefort Tranche	Privat	VB
9655	Flandrien Mittelalt 1/2	Privat	VB
9656	Flandrien Alt 1/2	Privat	VB
9657	Flandrien Jung 1/1	Privat	VB
9690	Butter Baratte Crem Grossel	Privat	VB
9723	Schafsfrischkäserolle	Privat	VB
9724	Schafkäserolle	Privat	VB
9740	Vachrousse Argental	Privat	06-02
9773	Diplomat Trüffel	Privat	VB
9788	Comte 12 Mon.	Privat	VB
9913	Gruyere 1/8 Laib	Privat	VB
9926	A Milkeria Cam Classic	Privat	
9947	Leerdammer Pfeffer Chili	Privat	04-01
9948	Leerdammer Tomate Bas.	Privat	04-01
9950	Gipfelstürmer	Privat	VB
9959	Campina NH Alt 4/4	Privat	
9961	Itche Bay	Privat	01-01
9962	Baskeriou	Privat	VB
9963	Cyrano Ziege/Schaf	Privat	VB
9964	Rama Original 400G	Privat	VB
9968	Noord-Holland Gouda alt	Privat	VB
9969	Noord-Holland Gouda jung	Privat	VB
9970	Noord-Holland Gouda mittelalt	Privat	VB
9978	Geramont 350g	Privat	VB
9980	Butter 5kg	Privat	VB
9992	And. Hirtenkäse	Privat	
9996	Burrata Büffel 8x200g	Privat	VB
9999	Frico Mittelalt	Privat	VB
11195	Tiroler Alpengold	Privat	VB
11315	Tiroler Adler	Privat	VB
11451	Steinsalzkäse	Privat	01-03
11452	Steinsalzkäse Bio	Privat	VB
14899	Landana Trüffel	Privat	VB
14905	Landana Ziege Feige/Nuss	Privat	02-01
14908	Gouda Frühling	Privat	SAISON
17150	Occelli al Barolo	Privat	VB
17802	Meraner Weinkäse	Privat	02-01
17803	Südtiroler Pfefferkäse	Privat	VB
18331	Rocchetta - Robiola Trelang.	Privat	06-03
18332	La Tur - Capris Tre Latti	Privat	06-03
18951	Robiola Bosina Damina	Privat	06-03
18955	Cravanzina	Privat	VB
19150	Grana Padano 1/2 Laib	Privat	VB
20011	Kraxlerkäse	Privat	VB
26000	Dijonsenfkäse     	Privat	VB
26001	Feigenkäse       	Privat	03-03
26007	Feuervogel               	Privat	VB
26011	Nussecke	Privat	VB
26012	Ziegenzauber	Privat	VB
26013	Aprikosenkäse	Privat	VB
26014	Hexenkäse	Privat	VB
26015	Himbeersenfkäse	Privat	03-03
26017	Kräuterbengel          	Privat	VB
26018	Eiskellerkäse	Privat	VB
26019	Chiantikäse             	Privat	VB
26020	Drachenkäse	Privat	VB
26022	Käsefüße Emmentaler	Privat	VB
26023	Käsefüße ital. Kräuter	Privat	VB
26025	Käsefüße Gouda	Privat	VB
30805	Gruyere Laibe 12 Mon.	Privat	VB
30806	Gruyere Laib Kaltbach	Privat	VB
31975	Camembert Bufala Schnittlauch	Privat	VB
32824	Camembert Bufala Nuss	Privat	VB
33531	Le Grand Barisien Cru	Privat	VB
34293	Camembert Bufala Pistazie	Privat	VB
41025	Cotte Tartuffo	Privat	VB
45045	Salame al Tartufo	Privat	VB
45046	Salame al Barolo	Privat	VB
45063	Salame al Abruzze	Privat	VB
45065	"Salami Ring Natur
Salamella Dolce"	Privat	VB
45101	Fenchel Salami Finocchiona	Privat	VB
45224	Salami Salsiccia	Privat	VB
47221	Salame di Cinghiale (Wildschwein)	Privat	VB
51034	Reggiano 24 Monate	Privat	VB
52102	Pecorino Tinto	Privat	05-03
53002	Provolone Piccante	Privat	VB
53011	Provolone Dolce	Privat	VB
53125	Cbt. di Bufala 4x ca. 260g	Privat	06-01
53126	Camembert Bufala Trüffel	Privat	VB
53225	Bergamino di Bufala	Privat	VB
54124	Cbt. di Capra 4x ca. 260g	Privat	VB
54125	Camembert di Pecora	Privat	VB
54224	Bergamino di Capra	Privat	VB
70195	St. Nectaire Auvermont 346	Privat	VB
90101	Frico Gouda Jung 1/4	Privat	VB
90102	Campina Gouda Jung 1/4	Privat	01-03
90104	Gouda NH Pikant 4/4 Campina	Privat	VB
90124	Landana Ziege Knoblauch/Brennessel	Privat	VB
90126	Leerd.Caracter 2/4	Privat	VB
90129	Landana Brennessel	Privat	VB
90152	Beemster Pikant 4/4	Privat	VB
90154	Beemster Jung 4/4	Privat	VB
90179	Gouwenaar Pikant 4/4	Privat	VB
90180	Gouwenaar Light 4/4	Privat	VB
90305	Appenzeller Extra 4/4	Privat	VB
90308	Appenzeller Edelwürzig 1/4	Privat	VB
90319	Gruyere Laibe 12-14 Mon	Privat	VB
90320	Fondue Moité Moité	Privat	SAISON
90321	Tete de Moine 1/2 lb. Reserve	Privat	VB
90331	Tête de Moine Reserve	Privat	VB
90376	ELDER Maxx 365 Tage 	Privat	VB
90521	Wildblumenkäse 4/4	Privat	VB
90531	Zitronenpfefferkäse 4/4	Privat	VB
90550	Stilfser 4/4	Privat	VB
90743	Grünlander Leicht 8x500g	Privat	VB
91029	Fromafe D`Affin. Kraüt. 2 kg	Privat	VB
91037	Raclette Frz. R 4/4	Privat	VB
91038	Raclette rechteck          	Privat	SAISON
91039	Raclette Frz. Rechteck 1/4	Privat	VB
91087	President Brie 50%	Privat	03-01
91088	Brietorte 60 %  3kg            	Privat	VB
91604	Pustertaler 4/4	Privat	VB
91841	Scamorza SB	Privat	VB
91856	Mozz. Büffel 8x125g	Privat	VB
91879	Blue Stilton 8KG	Privat	VB
93528	Grissini Natur	Privat	VB
93530	Grissini Rosmarin	Privat	VB
96154	Beemster Bio	Privat	VB
97002	La Brique 8x200g	Privat	VB
97008	Fromager Trüffel	Privat	VB
97009	Ortolan 250g	Privat	VB
97010	Brugge  4/4	Privat	VB
97031	6 Mini Chevre	Privat	VB
97046	Roulé Ananas 1x950g	Privat	06-01
97054	Pavé Ambre 8x150g	Privat	VB
97070	Peri Peri Farmhouse Chedd.	Privat	VB
97071	Roucoul. Noix	Privat	06-02
97073	Wensl. Cranberry 12x150g	Privat	VB
97151	Beemster Caroon pikant	Privat	VB
97154	Beemster Carron Mild	Privat	VB
97282	Morbier 4/4	Privat	VB
97385	Gouda Wasabi	Privat	01-03
98151	Beemster Old 4/4	Privat	VB
98152	Beemster pikant 16 kg	Privat	VB
98153	Beemster extra pikant 16 kg	Privat	VB
98154	Beemster mild 16 kg	Privat	VB
99015	Offenkäse 320g	Privat	VB
99016	Raclette Sonder	Privat	VB
99017	Raclette 1/2 Sonder	Privat	VB
99018	Tiroler Adler	Privat	VB
99033	Gouda Trüffel 1/4	Privat	VB
99104	Parrano geviertelt	Privat	VB
99126	Leerd.Delacreme Sonderware	Privat	VB
99143	Landana Trüffel Steinpilz	Privat	VB
99144	Beemster Royal  Grand cru 1/2 	Privat	VB
99145	Beemster Mai	Privat	SAISON
99151	Beemster XO 1-2 Laib	Privat	01-01
99152	Beemster extra pikant	Privat	01-01
99154	Beemster Extra Pikant 4/4	Privat	VB
99303	Emmentaler Urtyp 4xca. 3,5kg	Privat	VB
99319	Gruyere Laibe 16-18 Mon	Privat	VB
99321	Tete de Moine Rosetten	Privat	VB
99376	Scharfer Maxx 4/4	Privat	VB
99520	Rogg. Bio Bergblüte	Privat	VB
99521	Roggenburger Wiesenblume	Privat	VB
159007	Beemster Ziege  1/2	Privat	01-01
269711	Walnusstraum	Privat	01-03
270202	Marillensenfsauce mit Mandeln	Privat	VB
270204	Feigensenfsauce	Privat	VB
270206	Bodensee-Apfel/Calvadossenfs.	Privat	04-01
270209	Birnensenfsauce	Privat	VB
270216	Amarena Kirsch Senf	Privat	04-01
270223	Dillsenfsauce	Privat	04-01
270224	Feigen Rosa-Pfeffer Senfsauce	Privat	04-01
291104	Alpenpurist	Privat	VB
291117	Schweizer Trüffeli	Privat	VB
300553	Ziegencamembert Orange	Privat	VB
300554	Ziegencamemb. Feige	Privat	VB
310506	Hochgenuss	Privat	VB
330006	Knusperbrot Olive 10x180g	Privat	06-03
330011	Knusperbrot Orange 10x 180g	Privat	06-03
340180	La Buchette Fleur	Privat	VB
380333	Caramello 1/2	Privat	VB
420102	Grana gehobelt 12x200g	Privat	VB
420415	Brunet a. Langa	Privat	06-03
422502	Whisky Barolo	Privat	VB
422723	Pecorino Fantasia	Privat	VB
422851	Burrata Büffel	Privat	VB
424105	Reggiano 5 Jahre	Privat	VB
510040	Wenslyd. Ingw./Mango	Privat	06-02
518041	Sage Derby	Privat	VB
2440041	Dolomitenkönig 150g	Privat	01-01
2440042	Pustertaler 150g	Privat	01-01
2440043	Stilfser 150g	Privat	01-01
2440044	Kräuterhexe 150g	Privat	01-01
2440045	Pfefferkäse 150g	Privat	01-01
2440046	Alta Badia 150g	Privat	01-01
