Art. Nr.	Beschreibung	Lieferant (Haupt)	Neue LP
378	Lenggenwiler	Privat	VB
379	Scharfe Anna	Privat	VB
380	Sennerkäse 12 Mon.	Privat	VB
381	Anton 1/2	Privat	VB
382	Schön. Pfeffer	Privat	VB
383	Schönegrunder mild	Privat	VB
384	Der Kleine Senn	Privat	VB
385	Kristallkäse 24 Mon.	Privat	VB
386	Frecher Maxx	Privat	VB
398	Girolle Haube	Privat	VB
399	Girolle-Schaber mit Haube	Privat	VB
405	Buko 200g Aufsteller 240er	Privat	VB
406	Buko Chef 3kg Eimer	Privat	03-02
407	Buko, leicht 1,5kg Eimer	Privat	04-01
408	Buko 200 g natur	Privat	Sonderware
409	Buko 200g leicht	Privat	VB
412	Buko Ziege 10x200 gr.	Privat	VB
413	Buko Der Sahnige 20g Port.	Privat	01-01-H
415	Frischkäse 6-Fach Sort. 20g Port.	Privat	01-01-H
416	Buko 200g Pik. Kr. Balance	Privat	VB
431	Buko 4 x 1,5kg Kräuter	Privat	VB
432	Buko 4 x 1,5kg Laktosefrei	Privat	VB
433	Buko Ananas 10x200g	Privat	VB
470	Buko 200gr Aufsteller 480er	Privat	VB
502	Mueller Thurgau recent	Privat	VB
503	Mueller Thurgau grün (würzig)	Privat	VB
504	Alte Hexe	Privat	VB
505	Rote Hexe	Privat	01-01
506	Schön. Nussknacker	Privat	VB
508	König Ludwig Königskäse	Privat	VB
509	König Ludwig Bierkäse	Privat	VB
514	Chili Rebel	Privat	VB
519	Bio Holodri	Privat	VB
521	Wildblumenkäse	Privat	01-02
522	Walnusstraum	Privat	
523	Orangenpfefferkäse	Privat	VB
524	Toggenburger Sonntagskäse	Privat	01-03
526	Bergdiamant	Privat	VB
527	Baldauf Alpkäse 1/8 Laib	Privat	VB
529	Geldergold Käseschinken	Privat	VB
531	Zitronenpfefferkäse	Privat	01-02
537	Weinzirler	Privat	VB
550	Stilfser	Privat	01-03
551	Bergbaron	Privat	VB
553	Zirbenkäse 1/2	Privat	VB
554	Mölltaler	Privat	VB
555	Mondseer ca.3,5kg	Privat	VB
556	Dachsteiner ca.4kg	Privat	VB
557	Kärntner Rahmlaib ca. 4kg	Privat	VB
558	Moosbacher	Privat	VB
559	Ländle Rotweinkäse ca.4kg	Privat	03-02
560	Amadeus	Privat	VB
561	Mostkäse 	Privat	VB
564	Erzherzog Johann ca. 7kg	Privat	VB
569	Klostertaler	Privat	VB
570	Montforter   leicht   	Privat	03-02
573	Laendle Raclette Stangen	Privat	VB
576	Feuerteufel	Privat	VB
580	Voralberger 1 Kg. 	Privat	03-02
582	Vorarlberger Bergkäse 4kg	Privat	03-02
583	Voralberger Bergk.10 Mon.	Privat	
585	Tresana 5 Kg.	Privat	VB
586	Tresana 200 Gr.	Privat	VB
588	Lebo Tropical 	Privat	06-01
589	Lebo Ananas	Privat	06-01
590	Lebo Ingwer	Privat	06-01
591	Lebo Rum-Rosine	Privat	06-01
592	Lebo Cranberry	Privat	06-01
593	Machelle Italia	Privat	VB
594	Machelle Kräuter	Privat	VB
595	Machelle Sweet Pepper	Privat	VB
596	Feingold Bergkäse	Privat	VB
600	Rotkäppchen Camembert	Privat	VB
603	Schönegger Alprahmkäse	Privat	VB
605	Schönegg Alpenglühen	Privat	VB
606	St. Bernadus	Privat	VB
607	Schön. Bärlauch	Privat	VB
609	Schönegg. Kürbiskern	Privat	VB
612	Schönegger Vulkankäse	Privat	VB
616	Schönegg. Holunderblütenkäse	Privat	VB
618	Berggold Blütenbrie	Privat	VB
619	Berggold Walnussbrie	Privat	VB
620	Schönegger Almblütenkäse	Privat	VB
621	Kathis Sommersprossen	Privat	VB
630	Kathi Feuerschote	Privat	VB
631	Berggold Stubenkäse 6x150g	Privat	VB
632	Berggold Rahmbrie Pistazie	Privat	VB
640	Kathi Thymian Honig	Privat	03-01
641	Kathi Bockshorn Ziege	Privat	VB
642	Kathi Kürbiskern	Privat	03-01
643	Kathi Ziege  Minze/Basilikum	Privat	VB
644	Kathi Pfefferziege	Privat	VB
645	Kathi Waldzauber	Privat	03-01
651	Ascheberger Tilsiter 	Privat	VB
661	Nusschäss 	Privat	VB
662	Wilhelm Tell 1/2	Privat	VB
663	Schlemmerkäse 10x700g	Privat	VB
665	Bergjausenkäse gef.  909	Privat	VB
666	Emmentaler Scheiben gef.  143	Privat	VB
675	Ortler	Privat	VB
679	Rucksackkäse	Privat	VB
690	Gouda Bio belegen	Privat	VB
691	Altbierkäse	Privat	VB
693	Moins. Bernard	Privat	VB
694	Weißbierkäse	Privat	VB
696	Wilde Hilde	Privat	VB
697	Grienkenschmied	Privat	VB
698	Wilder Bernd	Privat	VB
699	Gouda Bio	Privat	VB
700	Milram Burlander leicht	Privat	04-01
701	Marienbürger	Privat	VB
702	Alt Mecklenburger Tilsiter, kräftig	Privat	03-02
704	Milram Burlander 	Privat	04-01
705	Bayernland Butterkäse	Privat	VB
706	Benjamin Gouda	Privat	04-01
707	Gräddost, Natur	Privat	03-03
708	Alter Schwede, pikant	Privat	03-02
709	Landfrischkäse 3,0 kg	Privat	VB
710	Gräddost, Schnittlauch	Privat	03-03
711	Bierwürfel 8x125g	Privat	VB
712	Tilsiter Scharf	Privat	VB
713	Vinschger 1/2 Lb.	Privat	VB
715	Madrigal Laib	Privat	VB
718	Andechser Rollenbutter	Privat	
721	Cantalet Laib AOP	Privat	VB
725	Milram Sylter	Privat	VB
727	Milram Müritzer	Privat	04-01
728	Bella Vitano Pfeff. 1/4	Privat	VB
730	Manouri 1kg	Privat	VB
731	Bellavitano Merlot 1/4	Privat	VB
732	Bellavitano Espresso 1/4	Privat	04-01
734	Moser Fette Berta	Privat	VB
735	Bio Moser mit Nuss	Privat	VB
736	Moser Huus Chäsli	Privat	VB
737	Camembertli	Privat	VB
742	Grünländer 	Privat	03-01
743	Grünländer leicht	Privat	VB
744	Grünländer Bärlauch	Privat	03-01
745	Grünländer Chili	Privat	03-01
746	Jermi Räucherrolle 2kg	Privat	03-02
747	Jermi Räucherrolle Schinken	Privat	03-02
748	Moser Rieslin Sylvan	Privat	VB
750	Jermi Lachstorte	Privat	VB
751	Bio Moser Chardonnay	Privat	VB
752	Moser mini Senf	Privat	VB
753	Moser mit Trüffel	Privat	VB
756	Milram Edamer 3kg	Privat	VB
757	Milram Gouda	Privat	04-01
758	Milram Tilsiter	Privat	VB
759	Milram Butterkäse	Privat	VB
760	Innperle Tomate Basilikum 2kg	Privat	VB
771	Diplomat Knoblauch	Privat	VB
772	Bauer Butterkäse	Privat	01-01
773	Bauer Diplomat	Privat	VB
781	Emmentaler Schmelz	Privat	03-02
782	Chester Schmelz	Privat	03-02
786	Hartkäse Ziege Rosmarin 6x120g	Privat	03-03
787	Hartkäse Pfeffer 6x150g	Privat	03-03
788	Hartkäse Ingwer 6x150g	Privat	03-03
789	Hartkäse Tomate 6x150g	Privat	03-03
790	Hartkäse Senf/Dill 6x150g	Privat	03-03
791	Diplomat Paprika	Privat	VB
792	Diplomat kümmel	Privat	VB
793	Diplomat Rucola	Privat	VB
794	Diplomat Pfeffer	Privat	VB
800	Alpenhain Back-Cbt. 8x200g	Privat	VB
801	Alpenhain Back-Cbt. 12x12x75g	Privat	VB
807	Hausmacher	Privat	VB
825	Pepperdew mit Fk	Privat	04-01
835	Schafkäse in Kräuteröl	Privat	04-01
840	Fk Thunfisch-Tomate	Privat	VB
841	Fk Lachs-Frühlingszwiebel	Privat	VB
842	FK-Schale Spanisch	Privat	VB
843	Fk Gärtnerin Art	Privat	VB
844	Fk Ital. Creme	Privat	VB
845	Fk Kräuter-Knoblauch	Privat	VB
846	Fk-Aioli	Privat	VB
847	Fk Pepperdream	Privat	VB
848	Fk El Bandito	Privat	VB
849	Fk 1001 Nacht	Privat	VB
850	Fk-Bärlauch	Privat	VB
851	Fk-Frühlingszwiebel	Privat	VB
852	Fk rote Zwiebel	Privat	VB
853	Fk-getr. Tomaten	Privat	VB
854	Fk Feige-Honig-Senf	Privat	VB
855	Hexenkaas 3 kg	Privat	VB
870	Rollenbutter leicht ges.250 gr	Privat	VB
890	Herve Kaas mild  6 x 100 g  	Privat	06-02
891	Herve Kaas pikant  6 x 100 g	Privat	06-02
901	St. Agur Edelpilzkäse	Privat	03-02
902	St. Albray	Privat	03-03
903	St. Albray 180 gr.	Privat	VB
905	Coeur de Lion 60%	Privat	
910	Pie d'Anglois	Privat	VB
912	Bours Krt. 150 gr	Privat	VB
913	Bours. Pfeffer 150 gr	Privat	VB
920	Gazi Natur	Privat	VB
921	Olympia gr. Feta Lake 3x2kg	Privat	05-01
922	Feta 200g	Privat	VB
923	Feta 2kg 	Privat	03-03
924	Salakis 2kg	Privat	VB
925	Salakis 200g	Privat	VB
926	Schafskäsekanister ca. 8 kg	Privat	03-01
927	Filos Feta 200g	Privat	VB
928	Corsu Vecchiu	Privat	03-02
941	Chavroux Ziegenfr.45%	Privat	VB
961	Chaumes	Privat	03-03
962	Chaumes 150 gr.	Privat	VB
963	Prestige de Bourgogne	Privat	VB
964	Lou Perac 10 x 150g	Privat	VB
965	Etorki ½ Laibe	Privat	03-03
968	Fol Epi 	Privat	03-03
976	Geramont der Frische 	Privat	03-03
977	Geramont 200 G	Privat	VB
979	Geramont Torte 	Privat	03-02
983	Pere Eugen Raclette	Privat	VB
984	Brie La Belle Laitiere	Privat	VB
993	Crottin. Papaya 80 gr	Privat	VB
995	Le Chartreux  	Privat	VB
996	Caprinelle	Privat	VB
997	Brie Ecke 	Privat	VB
998	Ziegenrolle 100g Wildkräuter	Privat	VB
1000	Brie BIO	Privat	VB
1002	President Carree Gourmet 6x200g	Privat	VB
1003	Ziegenrolle Merci Chef 6x150 g	Privat	06-01
1004	Richemont Raclette eckig	Privat	VB
1005	Richemont Raclette rund	Privat	VB
1006	Roucoulons 220 gr	Privat	VB
1007	Roucoulons 125g	Privat	VB
1008	Crem. De Bourg. Truff	Privat	06-03
1009	Coeur de Lion Carre 6x250g	Privat	VB
1010	Toast au Chèvre 750g	Privat	VB
1011	Ziegenbrie 1kg	Privat	VB
1012	Vacher. Mont D`or Mini 	Privat	SAISON
1015	Coulommiers Coeur de Lion	Privat	
1016	Cbt Payson Breton 12x250gr	Privat	VB
1018	Ziegenrolle Honig	Privat	06-01
1019	Ziegenrolle affine 450g	Privat	VB
1020	Ziegenrolle FK Cranberry	Privat	06-01
1021	Ziegentaler (Chv. Dorer) 12x(6x25g)	Privat	VB
1022	Ziegenrollen Fk Natur Soignon 6x125g	Privat	06-01
1023	Ziege Honig 125g	Privat	VB
1024	La Baguette	Privat	VB
1025	Ziegenstreichkäse Natur Soignon 6x150g	Privat	06-01
1027	Ziegenweichkäserolle gereift	Privat	03-03
1028	Pavé Cremeux 6x150g	Privat	06-02
1029	Fromage d'Affin. Natur 2kg	Privat	VB
1030	Pavé lose 6x150g	Privat	06-02
1031	Pavé Kräuter 6x150g	Privat	VB
1035	Orval	Privat	VB
1038	Raclette Frz. Rund	Privat	SAISON
1039	Raclette 4/4                       	Privat	VB
1049	Rambol 500gr	Privat	VB
1050	Rambol 1,2kg Nuss	Privat	03-03
1053	Wensl.Mexicana 	Privat	06-02
1055	Wens. S. Cranberry	Privat	06-02
1058	La Brique 900 g	Privat	VB
1060	Rustique 250 g	Privat	VB
1061	Rustique Laib 1kg 	Privat	03-03
1072	Bouquet des Moines 6x125g	Privat	06-02
1073	Bleu des Moines 6x150g	Privat	06-02
1074	Delice de Moines	Privat	VB
1078	Cantorel Geant	Privat	VB
1079	Supreme Torte	Privat	03-02
1085	Gefüllter Brie Schnittlauch	Privat	VB
1086	Brie Lingot President 3 kg	Privat	VB
1087	Brie Maub. 60% 2x1kg	Privat	VB
1088	Tortenbrie 50% Frz.	Privat	03-02
1093	Ziegenfrischkäse Kräuter 1kg	Privat	VB
1099	Carre de l Est 230g	Privat	04-01
1104	La Vache Qui Rit 80x17,5gr	Privat	VB
1105	La Vache Qui Rit Leicht	Privat	VB
1111	Bonbel Brote	Privat	01-01
1116	Babybel 200g	Privat	VB
1155	Mini Babybel 5x20 Gr.	Privat	VB
1156	Mini Babybel 96x20 gr.	Privat	VB
1157	Mini Babybel 96x20 gr.leicht	Privat	VB
1174	Kiri Creme	Privat	VB
1175	Kiri Kräuter 20 Gr.	Privat	VB
1181	Leerd. Scheib. 2x500 gr.	Privat	VB
1182	Leerd.Scheib.2x500gr.Leicht	Privat	VB
1190	Bonbel Brote Joghurt (leicht)	Privat	VB
1191	Bonbel Brote Sonnenblumenkerne	Privat	VB
1197	Mini Babybel 30er lose	Privat	VB
1265	Adler Edelcr. Krt. 20	Privat	VB
1267	Adler Edelcr. Sahne 20	Privat	04-01
1268	Adler Edelcr. Salami 20	Privat	VB
1269	Adles Edelcr. Champ. 20	Privat	VB
1311	Cast. Blau 150 gr.	Privat	VB
1317	Castello blau Laib	Privat	VB
1320	Castello 1kg Frischkäse Sort.	Privat	
1322	Castello weiß Laib	Privat	
1323	Sonderposten	Privat	
1341	Castello Schnittlauch 1kg 	Privat	03-03
1342	Castello Pfeffer 1kg 	Privat	03-03
1343	Castello Ananas 1kg 	Privat	03-03
1345	Castello pikante Kräuter 1kg	Privat	03-03
1350	Cast. Pik. Krt. 125 gr.	Privat	VB
1351	Cast. Schnitt. 125 gr.	Privat	VB
1352	Cast. Pfeffer 125 gr.	Privat	VB
1353	Cast. Ananas125 gr.	Privat	VB
1354	Cast. Rum 125 gr.	Privat	VB
1392	Marquis Rolle	Privat	03-03
1411	MK Pilos Chevre	Privat	
1414	Cam President 8/8 250g	Privat	VB
1417	Bresso Kräuter 1,5kg	Privat	03-02
1420	Milkana Emmentaler Block	Privat	03-02
1426	Emmentaler Antique Laib	Privat	VB
1469	Hochl.Schmelzscheiben Burger 200g	Privat	VB
1470	Hochl.Schmelzscheiben Toast 200g	Privat	VB
1471	Hochland FK 10kg	Privat	VB
1501	Bayernland Emmentaler Block 	Privat	03-02
1502	Bayernland Chester Block	Privat	03-02
1503	Robiola Frischkäse	Privat	06-03
1504	Landfrischkäse 2x3,5 kg	Privat	03-02
1505	Landfrischkäse 2x1,5 kg	Privat	03-02
1508	Hochland Cheddar Schb. X8	Privat	VB
1511	Lindenberger	Privat	VB
1550	Philidelphia 1,65kg	Privat	VB
1560	Philadelphia 1,65kg Leicht Kräuter	Privat	VB
1562	Phil. Kr. Balance	Privat	VB
1563	Phil. Schnittlauch	Privat	VB
1565	Phliadelphia 175g	Privat	VB
1566	Phliadelphia Milka 150g	Privat	VB
1568	Phliadelphia Joghurt	Privat	VB
1569	Philadelphia Lactosefrei 10x150g	Privat	VB
1571	Exquisa Fitline 0,2% 200g	Privat	VB
1572	Philadelphia  FK 10kg	Privat	VB
1600	Kräuterhexe Laib	Privat	VB
1601	Dolomitenkönig	Privat	VB
1602	Dolomit	Privat	01-01
1603	Alta Badia ½ Laibe	Privat	01-02
1604	Pustertaler	Privat	01-02
1697	Cabra Portionen 250gx12	Privat	02-02
1698	Iberico Portionen 250gx12	Privat	02-02
1699	Manchego Portionen 270gx12	Privat	02-02
1700	Burrata 200g	Privat	VB
1701	Mozzarella Burrata 100g	Privat	VB
1724	Mahon de Menorca	Privat	VB
1731	Scarmorza geräuchert	Privat	06-01
1732	Robiola Osella 200g	Privat	VB
1735	Kitzbühler 	Privat	VB
1742	Mozzarella Scheiben 400g	Privat	04-01
1750	Löffelgorgonzola	Privat	VB
1773	Boschetto al Tartuffo	Privat	
1778	Pecorino Mediterranno	Privat	VB
1782	Manchego al Romero 3kg	Privat	02-02
1783	Murcia al Vino	Privat	VB
1788	Felsenkeller	Privat	VB
1789	Span. Käseauswahl	Privat	02-02
1797	Queso de Cabra	Privat	02-02
1798	Iberico	Privat	02-02
1799	Queso de Oveja 15 Mon.	Privat	02-02
1801	Mozzarella Trüffel	Privat	VB
1814	Ital. Hartkäse 2kg	Privat	04-01
1817	Gorg.Mascarpone 8x200g	Privat	06-01
1818	"Gorgonzola Mascarpone
¼ Stücke "	Privat	06-01
1819	Südtiroler Bergkäse	Privat	01-02
1820	Gorgonzola 8x200g D.O.C.	Privat	06-01
1822	Grana Padano 15-17M 2kg 	Privat	03-01
1824	Grana Padano Flakes 5 x 1 kg	Privat	05-01
1827	Fontina 1/4 Laibe	Privat	VB
1831	Mozzarella 125 Gr.	Privat	VB
1832	Mozzarella Stangen 4x1kg	Privat	04-01
1833	Mozzar. Pancare 1 kg	Privat	VB
1834	Galb. Mascarpone 500g	Privat	VB
1836	Galb. Mascarpone 250g	Privat	VB
1839	Marscapone 2kg	Privat	VB
1845	Fontal	Privat	VB
1846	Ricotta 4 x 1,5 kg	Privat	04-01
1853	Mozzar. St. Lucia 125 gr	Privat	VB
1854	"Mozzarella Büffel in Salzlake
10 x 200 g im Eimer"	Privat	VB
1856	Galb. Mozz. Mini 1kg Eimer	Privat	VB
1858	Pecorino Sardo Maturo	Privat	03-01
1859	Pecorino Pepato	Privat	03-01
1865	Cashel Blue	Privat	VB
1866	Englischer Cheddar	Privat	02-02
1867	Pecorino Romano Keile	Privat	03-01
1871	Provolone 1KG	Privat	VB
1874	Stilton Bishop	Privat	VB
1875	Cheddar Barbers 	Privat	VB
1876	Kerrygold Cheddar 2,5kg	Privat	03-01
1877	Red Cheddar Scheiben 10x100	Privat	VB
1878	Cheddar Block	Privat	VB
1879	Blue Stilton Scheibe 2x2kg	Privat	06-02
1880	"Grana Padano
Gerieben 1kg"	Privat	VB
1882	Parmigiano Reggiano 16-18M 2kg	Privat	03-01
1883	"Hartkäse Mix 
gerieben 5 x 1kg"	Privat	04-01
1884	Parma. Reggiano 22-24M 4kg	Privat	VB
1885	Parma. Reggiano 22-24M 2kg	Privat	VB
1886	Cheddar Vintage	Privat	VB
1889	Pecorino Grotta Antico	Privat	03-01
1894	Taleggio	Privat	06-01
1895	Büffel-Mozzarella 125gx12	Privat	VB
1898	Höhlengorgonzola	Privat	VB
1899	Brinata Schaf WK 1kg	Privat	VB
1900	Parmesan Btl. 10 Gr.	Privat	VB
1901	Parmesan 125 Gr.	Privat	04-01
1902	Galbanino 14x270g	Privat	VB
1903	Parmesan 250 g	Privat	VB
1905	Parmigiano Reggiano 15 x 200g 	Privat	04-01
1906	Parmesan 80 g	Privat	VB
1907	Grana Padano 15x200g Stücke	Privat	04-01
1908	"Grana Padano
16 Monat Laib"	Privat	VB
1909	"Grana Padano
16 Monat 4 kg"	Privat	VB
1910	Parma. Reggiano 22 - 24 Monat Laib	Privat	VB
1911	Parma. Reggiano 18 - 20 Monat 1/2 Laib	Privat	VB
1912	Parm. Reggiano 14-16m	Privat	VB
1945	Camembert Royal 6x250g	Privat	VB
1949	Winzerkäse, Elsässer 6x220g	Privat	03-02
1950	Winzerkäse, Elsässer Laibe	Privat	03-02
1952	Montero Trüffel	Privat	01-03
1953	Gorgonzola Dolce	Privat	VB
1954	Gorgonzola Galbani Intenso	Privat	06-01
1955	Gorg. Galbani Excel.	Privat	VB
1956	Roquefort Societe	Privat	VB
1957	Bel Paese	Privat	VB
1958	Kaltb. Gruyere 1/4 Lb.	Privat	VB
1959	Kaltbach cremig würzig	Privat	01-02
1960	Kaltbach Gruyère	Privat	01-03
1961	Kaltbach Emmentaler King	Privat	01-03
1962	Emmentaler höhlengereift	Privat	01-03
1963	Kaltbach Raclette Trüffel	Privat	VB
1964	Kaltbach Gold	Privat	01-02
1965	Galb. Taleggio 2,2 kg	Privat	VB
1966	Roquefort Societe 100 gr	Privat	VB
1967	Parmesan ger. Galb. 40x20	Privat	VB
1979	Kaltbach Kräftig Würzig	Privat	VB
2002	Camenbert 250 gr 6/6	Privat	VB
2004	Gourmet de Champignon 1kg	Privat	03-02
2005	Allgäuer Rahmtorte Natur	Privat	VB
2007	Kräutertorte 1,4kg	Privat	VB
2008	Knoblauchtorte 1,4kg	Privat	VB
2009	Allgäuer Rahmtorte Pfeffer	Privat	VB
2010	Cambozola Torte	Privat	03-01
2011	Grand Noir 2,5kg	Privat	03-01
2012	Cambozola Balance Torte	Privat	03-01
2013	Rougette Torte	Privat	03-02
